description,unit
Door Frame section of 63.5x100 MM .The two Vertical members are to be joined together with the horizontal member using 8x75 MM long MS Star full thread screws to be used with reverse forward speed control hand drilling machine. The ready/assembled door frame is fixed to the wall using hold fast or bolt fasteners. A minimum of 4 No.s of screws to be provided for each vertical member & minimum 2no.s for horizontal member.,1.80m²
"Flush door shutters, solid bond wood block board type with teak veneer on one face and commercial ply on another face (lipping): 40 mmthick conforming to IS:2202",10.43m²
"Painting with exterior emulsion paint two coats to walls with approved colour and quality including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge.",10.43m²
Removing of damaged brick masonary wall in cement mortor and stacking useful material for reuse and disposing the debris to a for off distance all incidental and oprational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer In Dislocated Drain Walls(damaged),1 cum
"Removing of damaged plain cement concrete and disposing the debris to a far off distance, all incidental and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1 cum
"Providing and Laying plain cement concrete 1:4:8 Pro. (1 cement:4sand:8metal) using 40mm HBG gauge hard granite machine crushed metal conforming to IS 383-1970 in foundation and for BED including machine mixing, depositing in position, ramming, finishing, curing including all incidental operational and seigniorage charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1 cum
"Providing and Laying plain cement concrete 1:3:6 Pro. (1 cement:3sand:6metal) using 20mm HBG gauge hard granite machine crushed metal conforming to IS 383-1970 in foundation and for BED including machine mixing, depositing in position, ramming, finishing, curing including all incidental operational and seigniorage charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1 cum
"Providing reinforced cement concrete using 330 kgs of cement with a minimum strenght of M20 grade using 20mm gauge hard granite machine mixing,centering,laying concrete,compacting vibrating rendering,fine finishing,curing,conforming to IS 456-1978 including all incidental,operational,scaffolding and charges cost and conveyance of all labour and materials at site of work complete as directed by the",1 mt
"Cement plastering in CM 1:5 prop (1 cement:5sand) of 20 mm thick including Fine rendering and smooth finishing, curing, cleaning the surface including all incidental,and operational, scaffolding, lift and seigniorage charges, cost and conveyance of all labour and materials at site of work complete as directed by the E-IN-C.",10 Sqm
"Cement plastering in CM 1:5 prop (1 cement:5sand) of 12 mm thick including Fine rendering and smooth finishing, curing, cleaning the surface including all incidental,and operational, scaffolding, lift and seigniorage charges, cost and conveyance of all labour and materials at site of work complete as directed by the E-IN-C.",10 Sqm
"Providing, laying,spreading and compacting graded HBG Crushed stone Providing, laying,spreading and compacting graded HBG Crushed stone (89.10Cum of 45-22.4mm.118.80 Cum of 22.4-2.36mm&89.10 Cum of 2.36mm and below for total out foot of 225 Cum),including cost of all materials and including premixing the material with water at OMC in mechanical mix palnt garrage of mixied materials by thipper to site,laying in from layers with paver in sub-base/base course on well prepared surface and compacting with vibratory roller of 8-10m capacity to achive the desired dencity as for MORTH specification 406(5th revision)for finished item of work.(As for item no RBR SBBS-11,slno.10 of B of AP.Revised standared data for roads and bridges).",1 cum
"2 Supply & fixing chain link fencing 50mm x 50 mm or 2'' x 2'' hot dipped galvaised iron chain link mesh 8 guage (4mm) as per ISI 2721-1979, 5'-0'' height and vertical post of 2''dia GI pipe @5.03 kgs for Rm/m medium weight 8'-0'' center to center of pannel and labour charges for cutting of damaged CC pavement with power drilling machine of size 2 x 0.23 x 0.60 m 2 laying the concrete P.C.C 1:2:4 using 20 mm MC metal around the vertical GI pipe of size 2x 0.23 x 0.60 m and welding the 'L' angle bottom of the GI pipe for anchoring in foundation. To fixing the weldmesh in between two vertical GI pipes, to a size of weldmesh 8'-0'' x5'-0'' that is 40 sqft including cutting welding fabrication charges pipe and weldmesh. including painting to GI pipe one coat of red oxide paint zincromet and two coats synthetic enamel paint including cost of brushess and including cost and conveyance of all labour and materials at site if work complete. chainlink fencing barcading from bus station to bus depot vacant site Removing of damaged brick masonary walls cement mortar and stacking the useful materials for reuse and disposing the debris to a far off distance,all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer- in - front side long wall of booking room Cross wall ladies toilets short wall Super structure wall of ladies rest room front wall Basement front side of booking room + ladies rest room",
"Supply & fixing chain link fencing 50mm x 50 mm or 2'' x 2'' hot dipped galvaised iron chain link mesh 8 guage (4mm) as per ISI 2721-1979, 5'-0'' height and vertical post of 2''dia GI pipe @5.03 kgs for Rm/m medium weight 8'-0'' center to center of pannel and labour charges for cutting of damaged CC pavement with power drilling machine of size 2 x 0.23 x 0.60 m 2 laying the concrete P.C.C 1:2:4 using 20 mm MC metal around the vertical GI pipe of size 2x 0.23 x 0.60 m and welding the 'L' angle bottom of the GI pipe for anchoring in foundation. To fixing the weldmesh in between two vertical GI pipes, to a size of weldmesh 8'-0'' x5'-0'' that is 40 sqft including cutting welding fabrication charges pipe and weldmesh. including painting to GI pipe one coat of red oxide paint zincromet and two coats synthetic enamel paint including cost of brushess and including cost and conveyance of all labour and materials at site if work complete. chainlink fencing barcading from bus station to bus depot vacant site Removing of damaged brick masonary walls cement mortar and stacking the useful materials for reuse and disposing the debris to a far off distance,all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer- in - front side long wall of booking room Cross wall ladies toilets short wall Super structure wall of ladies rest room front wall Basement front side of booking room + ladies rest room",1 sqm
"2 Removing of damaged brick masonary walls cement mortar and stacking the useful materials for reuse and disposing the debris to a far off distance,all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer- in - front side long wall of booking room Cross wall ladies toilets short wall Super structure wall of ladies rest room front wall Basement front side of booking room + ladies rest room",
"Removing of damaged brick masonary walls cement mortar and stacking the useful materials for reuse and disposing the debris to a far off distance,all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer- in - front side long wall of booking room Cross wall ladies toilets short wall Super structure wall of ladies rest room front wall Basement front side of booking room + ladies rest room",1.97m³
"Removing of damaged AC sheets, 'J' Bolts, washers & nuts including cutting the alround brick masonary / PCC including stacking the useful material for reuse and disposing the debris to a far off distance, all incidental and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",1 Rm
"Labour charges for removing the old 2½""Ø G I pipe fixed in concrete in walls including removing of damaged channel angles at a height of 3.66 mts stacking the useful materials at site of work cost and conveyance of all labour and materials at site of work complete.",1 Sqm
